title,release_year,budget,revenue,loss,genres
Black Gold,2011,40000000.0,5446000.0,34554000.0,"Adventure, Drama"
Universal Soldier: The Return,1999,45000000.0,10667893.0,34332107.0,"Action, Science Fiction"
Anna Karenina,1997,35000000.0,791830.0,34208170.0,"Drama, Romance"
Strange Days,1995,42000000.0,7959291.0,34040709.0,"Crime, Drama, Science Fiction, Thriller"
Deep Rising,1998,45000000.0,11203026.0,33796974.0,"Adventure, Action, Horror, Science Fiction"
Sinbad: Legend of the Seven Seas,2003,60000000.0,26288320.0,33711680.0,"Family, Animation, Adventure"
The Big Year,2011,41000000.0,7448385.0,33551615.0,Comedy
Terminal Velocity,1994,50000000.0,16478900.0,33521100.0,"Action, Thriller"
Baby's Day Out,1994,50000000.0,16671505.0,33328495.0,"Action, Adventure, Comedy, Family"
Event Horizon,1997,60000000.0,26673242.0,33326758.0,"Horror, Science Fiction, Mystery"
Isn't She Great,2000,36000000.0,3003296.0,32996704.0,"Drama, Comedy"
Stolen,2012,35000000.0,2106557.0,32893443.0,"Action, Crime, Drama, Thriller"
Lady in the Water,2006,75000000.0,42285169.0,32714831.0,"Drama, Thriller, Fantasy, Mystery"
The Children of Huang Shi,2008,40000000.0,7400000.0,32600000.0,"Drama, War"
Virgin Territory,2007,38000000.0,5410749.0,32589251.0,"Adventure, Action, Comedy, Romance"
Against the Ropes,2004,39000000.0,6614280.0,32385720.0,"Romance, Drama"
The Cotton Club,1984,58000000.0,25928721.0,32071279.0,"Music, Drama, Crime, Romance"
Valmont,1989,33000000.0,1132112.0,31867888.0,"Drama, Romance"
Christopher Columbus: The Discovery,1992,40000000.0,8251071.0,31748929.0,Action
The Interview,2014,44000000.0,12342632.0,31657368.0,"Action, Comedy"
Nothing but Trouble,1991,40000000.0,8479793.0,31520207.0,"Comedy, Adventure"
Big Trouble,2002,40000000.0,8493890.0,31506110.0,"Action, Comedy, Thriller"
Basic Instinct 2,2006,70000000.0,38629478.0,31370522.0,"Crime, Mystery, Thriller"
Land of the Lost,2009,100000000.0,68688831.0,31311169.0,"Adventure, Comedy, Science Fiction"
The Bonfire of the Vanities,1990,47000000.0,15691192.0,31308808.0,"Comedy, Drama"
Agora,2009,70000000.0,39041505.0,30958495.0,"Adventure, Drama, History"
The Warrior's Way,2010,42000000.0,11087569.0,30912431.0,"Adventure, Fantasy, Action, Western, Thriller"
Havana,1990,40000000.0,9243140.0,30756860.0,"Drama, Romance"
Switchback,1997,37000000.0,6482195.0,30517805.0,"Action, Adventure, Mystery, Thriller"
